feature,dtype,non_null_count,unique_count,minimum,maximum,mode,median,percentile_25,percentile_50,percentile_75,mean,std,geometric_mean,harmonic_mean,missing_count,missing_percentage
cell_type,str,5880,19,,,Neutrophil,,,,,,,,,0,0.0
anomaly_label,int64,5880,2,0.0,1.0,0,0.0,0.0,0.0,1.0,0.3197278911564626,0.46641072371399867,1.0,1.0,0,0.0
disease_category,str,5880,8,,,Normal_WBC,,,,,,,,,0,0.0
cell_diameter_um,float64,5880,1472,1.0,21.18,7.54,10.055,7.63,10.055,12.86,10.176267006802721,3.6420514725254973,9.354220374776403,8.219331075433677,0,0.0
nucleus_area_pct,float64,5880,607,0.0,99.0,0.0,54.5,0.0,54.5,72.3,43.537976190476186,33.41939028774672,63.80623841451415,51.64556144142731,0,0.0
chromatin_density,float64,5880,730,0.0,1.0,0.0,0.4795,0.0,0.4795,0.635,0.39139421768707483,0.3100055726014506,0.5668315586305226,0.5340543247419031,0,0.0
cytoplasm_ratio,float64,5880,610,0.05,1.0,1.0,0.452,0.276,0.452,1.0,0.5641732993197279,0.3352821434781876,0.45378065330959355,0.34553391038877684,0,0.0
circularity,float64,5880,727,0.1,1.0,1.0,0.805,0.711,0.805,0.879,0.7692632653061224,0.15821892377010485,0.7467648925958512,0.713119167605361,0,0.0
eccentricity,float64,5880,878,0.0,0.99,0.182,0.331,0.21475,0.331,0.456,0.3654583333333334,0.2015011016350546,0.31328816760936523,0.25984456552713225,0,0.0
granularity_score,float64,5880,566,0.0,6.0,0.59,1.32,0.67,1.32,2.98,1.882108843537415,1.428336361320972,1.3475541424831734,0.8731634623835446,0,0.0
lobularity_score,float64,5880,63,1.0,7.2,1.0,1.0,1.0,1.0,2.3,1.7692517006802722,1.2293624280497693,1.4798555600886867,1.3075317741148487,0,0.0
membrane_smoothness,float64,5880,470,0.29,1.0,1.0,0.854,0.784,0.854,0.918,0.8428656462585035,0.09603309751908146,0.8367987125362231,0.8299026217411603,0,0.0
cell_area_px,int64,5880,752,10.0,901.0,178,334.0,189.0,334.0,459.25,336.5710884353741,175.05902111903464,273.28320829161964,169.7593578878464,0,0.0
perimeter_px,int64,5880,118,8.0,128.0,51,64.0,50.0,64.0,78.0,64.0688775510204,21.290605040780868,59.737953192079395,53.83096792093829,0,0.0
mean_r,int64,5880,111,123.0,255.0,224,213.0,199.0,213.0,226.0,212.11921768707484,19.19062850859991,211.22650207620242,210.305846045827,0,0.0
mean_g,int64,5880,114,89.0,218.0,153,147.0,132.0,147.0,160.0,146.39268707482992,18.83669122952087,145.16462362107578,143.91840862900003,0,0.0
mean_b,int64,5880,143,94.0,244.0,191,176.0,139.0,176.0,193.0,168.66496598639455,30.619209209469027,165.71222209715327,162.61071728827847,0,0.0
stain_intensity,float64,5880,523,0.307,1.0,0.696,0.615,0.526,0.615,0.7,0.616362074829932,0.10924025320833793,0.6065598205468952,0.5966667750233052,0,0.0
patient_age_group,str,5880,3,,,Adult,,,,,,,,,0,0.0
patient_sex,str,5880,2,,,F,,,,,,,,,0,0.0
wbc_count_per_ul,int64,5880,4291,1000.0,16855.0,1000,7061.0,5371.75,7061.0,8727.5,7043.273979591837,2481.99991644617,6511.910797753108,5787.2131771787435,0,0.0
rbc_count_millions_per_ul,float64,5880,434,2.11,7.0,4.64,4.8,4.26,4.8,5.34,4.790727891156463,0.8059086827955433,4.720052502660338,4.645554750930485,0,0.0
hemoglobin_g_dl,float64,5880,126,5.4,20.0,13.8,13.5,12.2,13.5,14.9,13.54719387755102,2.025136044601953,13.391760898873805,13.230866162635136,0,0.0
hematocrit_pct,float64,5880,317,20.3,60.0,40.7,41.0,37.3,41.0,44.8,41.02195578231293,5.484636190296064,40.64614163903667,40.25854500015986,0,0.0
platelet_count_per_ul,int64,5880,5818,20000.0,543084.0,20000,250070.5,194653.25,250070.5,303863.5,249792.62346938776,79472.67622767785,235167.39367434912,216062.07671584058,0,0.0
mcv_fl,float64,5880,523,60.0,120.0,94.0,88.9,82.3,88.9,95.7,88.94221088435374,9.927004918258802,88.37839101557874,87.80273075203746,0,0.0
mchc_g_dl,float64,5880,96,28.0,38.0,33.8,33.5,32.5,33.5,34.5,33.49586734693878,1.4801682471573776,33.463042848934506,33.430076172726636,0,0.0
