feature,pearson_kurtosis,kurtosis_level,max_abs_correlation,most_correlated_feature,correlation_level,correlated_group_id,group_size,selected_within_group,decision,justification
cell_diameter_um,2.6347935834503677,low,0.8874564822584377,cell_area_px,high,1.0,3,no,drop,Feature belongs to strict correlation group 1 (size=3) and is dropped because another feature in the same group has higher kurtosis.
cell_area_px,2.350441070060377,low,0.8874564822584377,cell_diameter_um,high,1.0,3,no,drop,Feature belongs to strict correlation group 1 (size=3) and is dropped because another feature in the same group has higher kurtosis.
cytoplasm_ratio,1.4880728732662776,low,0.9811132765178654,nucleus_area_pct,high,2.0,2,no,drop,Feature belongs to strict correlation group 2 (size=2) and is dropped because another feature in the same group has higher kurtosis.
chromatin_density,1.560348048228741,low,0.8874605048047229,nucleus_area_pct,high,3.0,2,no,drop,Feature belongs to strict correlation group 3 (size=2) and is dropped because another feature in the same group has higher kurtosis.
eccentricity,3.7331000756177444,high,0.8040003204426074,circularity,high,4.0,2,no,drop,Feature belongs to strict correlation group 4 (size=2) and is dropped because another feature in the same group has higher kurtosis.
perimeter_px,2.901017796531348,low,0.8625516808142629,cell_area_px,high,1.0,3,yes,keep_one_from_group,Feature belongs to strict correlation group 1 (size=3) and is retained because it has the highest kurtosis within this group.
nucleus_area_pct,1.5007273364976768,low,0.9811132765178654,cytoplasm_ratio,high,2.0,2,yes,keep_one_from_group,Feature belongs to strict correlation group 2 (size=2) and is retained because it has the highest kurtosis within this group.
mean_b,1.948727281057862,low,0.8247234001798588,nucleus_area_pct,high,3.0,2,yes,keep_one_from_group,Feature belongs to strict correlation group 3 (size=2) and is retained because it has the highest kurtosis within this group.
circularity,4.889616778523638,high,0.8040003204426074,eccentricity,high,4.0,2,yes,keep_one_from_group,Feature belongs to strict correlation group 4 (size=2) and is retained because it has the highest kurtosis within this group.
lobularity_score,4.9962038955141255,high,0.6502717452058795,granularity_score,low,,1,yes,keep,"Feature is not part of a strict strong-correlation group and has high kurtosis, therefore it is retained as a unique anomaly-related feature."
membrane_smoothness,4.545903841200651,high,0.5956571006490513,circularity,low,,1,yes,keep,"Feature is not part of a strict strong-correlation group and has high kurtosis, therefore it is retained as a unique anomaly-related feature."
hematocrit_pct,2.9493210948238886,low,0.029016566050958915,mean_g,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
mchc_g_dl,2.946882309355913,low,0.03258337046646876,circularity,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
rbc_count_millions_per_ul,2.938488193452013,low,0.02897988265135444,mean_g,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
hemoglobin_g_dl,2.9290592695452533,low,0.032462204214147465,mchc_g_dl,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
wbc_count_per_ul,2.922359804822194,low,0.024848355576957186,granularity_score,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
mean_r,2.894694408038595,low,0.5959818313270605,nucleus_area_pct,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
mcv_fl,2.883491348080072,low,0.024041222021629713,stain_intensity,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
platelet_count_per_ul,2.8462819921192053,low,0.03670830839935517,stain_intensity,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
mean_g,2.62404246070669,low,0.5182774272642381,mean_b,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
granularity_score,2.461290414931098,low,0.6502717452058795,lobularity_score,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
stain_intensity,2.3280379140692213,low,0.7338178816314348,nucleus_area_pct,high,,1,yes,keep,"Feature has strong pairwise correlation with another feature, but it was not included into a strict limited-size correlation group; retained for context."
image_resolution_px,1.8116817097932993,low,0.01792246491670521,mchc_g_dl,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
magnification_x,1.338026955125866,low,0.033732728734310914,eccentricity,low,,1,yes,keep,Feature is not part of a strict strong-correlation group and is retained as a non-redundant contextual feature.
