feature,dtype,missing_count,unique_count,mode,min,max,mean,median,std,pearson_kurtosis,kurtosis_info,variance,mean_mi
cell_type,str,0,19,Neutrophil,,,,,,,,,
anomaly_label,int64,0,2,0,0.0,1.0,0.3197278911564626,0.0,0.46641072371399867,,,,
disease_category,str,0,8,Normal_WBC,,,,,,,,,
cell_diameter_um,float64,0,1472,7.54,1.0,21.18,10.176267006802721,10.055,3.6420514725254973,2.6347935834503677,normal_or_light,,
nucleus_area_pct,float64,0,607,0.0,0.0,99.0,43.537976190476186,54.5,33.41939028774672,1.5007273364976768,normal_or_light,,
chromatin_density,float64,0,730,0.0,0.0,1.0,0.39139421768707483,0.4795,0.3100055726014506,1.560348048228741,normal_or_light,,
cytoplasm_ratio,float64,0,610,1.0,0.05,1.0,0.5641732993197279,0.452,0.3352821434781876,1.4880728732662776,normal_or_light,,
circularity,float64,0,727,1.0,0.1,1.0,0.7692632653061224,0.805,0.15821892377010485,4.889616778523638,high_tail_weight,,
eccentricity,float64,0,878,0.182,0.0,0.99,0.3654583333333334,0.331,0.2015011016350546,3.7331000756177444,high_tail_weight,,
granularity_score,float64,0,566,0.59,0.0,6.0,1.882108843537415,1.32,1.428336361320972,2.461290414931098,normal_or_light,,
lobularity_score,float64,0,63,1.0,1.0,7.2,1.7692517006802722,1.0,1.2293624280497693,4.9962038955141255,high_tail_weight,,
membrane_smoothness,float64,0,470,1.0,0.29,1.0,0.8428656462585035,0.854,0.09603309751908146,4.545903841200651,high_tail_weight,,
cell_area_px,int64,0,752,178,10.0,901.0,336.5710884353741,334.0,175.05902111903464,2.350441070060377,normal_or_light,,
perimeter_px,int64,0,118,51,8.0,128.0,64.0688775510204,64.0,21.290605040780868,2.901017796531348,normal_or_light,,
mean_r,int64,0,111,224,123.0,255.0,212.11921768707484,213.0,19.19062850859991,2.894694408038595,normal_or_light,,
mean_g,int64,0,114,153,89.0,218.0,146.39268707482992,147.0,18.83669122952087,2.62404246070669,normal_or_light,,
mean_b,int64,0,143,191,94.0,244.0,168.66496598639455,176.0,30.619209209469027,1.948727281057862,normal_or_light,,
stain_intensity,float64,0,523,0.696,0.307,1.0,0.616362074829932,0.615,0.10924025320833793,2.3280379140692213,normal_or_light,,
patient_sex,int64,0,2,0,0.0,1.0,0.495578231292517,0.0,0.5000229683470264,,,0.24998044796149752,0.0012687935483354535
wbc_count_per_ul,int64,0,4291,1000,1000.0,16855.0,7043.273979591837,7061.0,2481.99991644617,2.922359804822194,normal_or_light,,
rbc_count_millions_per_ul,float64,0,434,4.64,2.11,7.0,4.790727891156463,4.8,0.8059086827955433,2.938488193452013,normal_or_light,,
hemoglobin_g_dl,float64,0,126,13.8,5.4,20.0,13.54719387755102,13.5,2.025136044601953,2.9290592695452533,normal_or_light,,
hematocrit_pct,float64,0,317,40.7,20.3,60.0,41.02195578231293,41.0,5.484636190296064,2.9493210948238886,normal_or_light,,
platelet_count_per_ul,int64,0,5818,20000,20000.0,543084.0,249792.62346938776,250070.5,79472.67622767785,2.8462819921192053,normal_or_light,,
mcv_fl,float64,0,523,94.0,60.0,120.0,88.94221088435374,88.9,9.927004918258802,2.883491348080072,normal_or_light,,
mchc_g_dl,float64,0,96,33.8,28.0,38.0,33.49586734693878,33.5,1.4801682471573776,2.946882309355913,normal_or_light,,
magnification_x,int64,0,3,100,40.0,100.0,76.00680272108843,100.0,25.032177719820794,1.338026955125866,normal_or_light,,
image_resolution_px,int64,0,4,224,224.0,512.0,336.2353741496599,256.0,111.9220154731507,1.8116817097932993,normal_or_light,,
patient_age_group_Elderly,int64,0,2,0,0.0,1.0,0.24744897959183673,0.0,0.43156651538617385,,,0.1862179820907955,0.0017617128779195484
patient_age_group_Pediatric,int64,0,2,0,0.0,1.0,0.19540816326530613,0.0,0.3965483025893202,,,0.1572238129945856,0.0016777044414357355
dataset_source_PBC_Dataset,int64,0,2,0,0.0,1.0,0.3998299319727891,0.0,0.48990486316238685,,,0.2399659574714239,0.004996622543391339
dataset_source_Raabin_WBC,int64,0,2,0,0.0,1.0,0.35527210884353744,0.0,0.47863639527490714,,,0.22905383752140313,0.005641294610578698
staining_protocol_May_Grunwald_Giemsa,int64,0,2,0,0.0,1.0,0.19846938775510203,0.0,0.3988813718163222,,,0.159079289879217,0.002466031582369089
staining_protocol_Wright,int64,0,2,0,0.0,1.0,0.3547619047619048,0.0,0.47848179890933074,,,0.22890589569160996,0.0029053900808304572
microscope_model_Olympus_BX51,int64,0,2,0,0.0,1.0,0.40782312925170067,0.0,0.49147177283771293,,,0.2415034244990513,0.0033654882904193646
microscope_model_Zeiss_Axio,int64,0,2,0,0.0,1.0,0.24200680272108843,0.0,0.428334813737989,,,0.18343951015780463,0.0033505910823941358
